nombre_com,barrio
Ombú,RECOLETA
Ombú,ALMAGRO
Ombú,ALMAGRO
Ombú,BOEDO
Ombú,BOEDO
Ombú,BOEDO
Ombú,SAN NICOLAS
Ombú,CABALLITO
Ombú,CABALLITO
Ombú,VILLA DEVOTO
Ombú,MATADEROS
Ombú,MATADEROS
Ombú,PARQUE CHAS
Ombú,PARQUE CHAS
Ombú,VILLA URQUIZA
Ombú,VILLA DEL PARQUE
Ombú,VILLA DEVOTO
Ombú,RECOLETA
Ombú,COLEGIALES
Ombú,FLORES
Ombú,FLORES
Ombú,BOCA
Ombú,VILLA DEL PARQUE
Ombú,PARQUE CHAS
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,FLORES
Ombú,FLORES
Ombú,PARQUE CHACABUCO
Ombú,PARQUE AVELLANEDA
Ombú,VERSALLES
Ombú,PARQUE CHACABUCO
Ombú,FLORES
Ombú,FLORES
Ombú,FLORES
Ombú,SAAVEDRA
Ombú,SAAVEDRA
Ombú,BELGRANO
Ombú,VILLA DEL PARQUE
Ombú,VILLA GRAL. MITRE
Ombú,VILLA GRAL. MITRE
Ombú,VILLA GRAL. MITRE
Ombú,VILLA REAL
Ombú,PALERMO
Ombú,VILLA URQUIZA
Ombú,NUÑEZ
Ombú,NUÑEZ
Ombú,PALERMO
Ombú,PATERNAL
Ombú,NUEVA POMPEYA
Ombú,PALERMO
Ombú,PALERMO
Ombú,PALERMO
Ombú,VILLA LUGANO
Ombú,FLORES
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,VILLA URQUIZA
Ombú,PALERMO
Ombú,PALERMO
Ombú,VILLA PUEYRREDON
Ombú,VILLA PUEYRREDON
Ombú,VILLA PUEYRREDON
Ombú,VILLA PUEYRREDON
Ombú,VILLA PUEYRREDON
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,BELGRANO
Ombú,NUEVA POMPEYA
Ombú,PARQUE PATRICIOS
